sourceRow,name,productCode,sheetUnit,dibeli,dijual,category,suggestedPrimaryUnit,existingNameMatch,existingSkuForName,existingUnitForName,existingParentForName,existingNamesUsingSameSku,issueTypes,suggestedAction,normalizedNameKey,matchedExistingNameByNormalizedKey,refinedIssueTypes,refinedSuggestedAction,finalBucket
80,Rafia Merah Super 1 (6),,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME,rafia merah super 1 (6),,MISSING_PRODUCT_CODE,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED
82,Rafia Netral,,Kg,,4-104 Penjualan Rafia Kw,BARANG JADI,KG,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME,rafia netral,,MISSING_PRODUCT_CODE,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED
89,"Rafia Warna KW 0,2 (10)",,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME,rafia warna kw 0.2 (10),,MISSING_PRODUCT_CODE,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED
138,Sedotan Bening Lurik Merah Dop Lancip Lubang 6,SBLMDSL6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Bening Lurik Merah Dop Lancip Lubang 6,SBLMDSL6,KG,Produk FINISHED GOOD Rafia,Sedotan Bening Lurik Merah Dop Lancip Lubang 6,DUPLICATE_PRODUCT_CODE_IN_SHEET,EXISTS_BY_NAME,sedotan bening lurik merah dop lancip lubang 6,Sedotan Bening Lurik Merah Dop Lancip Lubang 6,DUPLICATE_PRODUCT_CODE_IN_SHEET;NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME,MANUAL_REVIEW_REQUIRED
144,Sedotan Bening Lurik Merah Putih Lancip Lubang 6,SBLMDSL6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,Sedotan Bening Lurik Merah Dop Lancip Lubang 6,DUPLICATE_PRODUCT_CODE_IN_SHEET;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,sedotan bening lurik merah putih lancip lubang 6,,DUPLICATE_PRODUCT_CODE_IN_SHEET;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED
177,"Sedotan Biru Lurik Dop Lubang 6,5",,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME,sedotan biru lurik dop lubang 6.5,,MISSING_PRODUCT_CODE,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED
194,"Sedotan Hijau Lurik Dop Lubang 6,5",,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME,sedotan hijau lurik dop lubang 6.5,,MISSING_PRODUCT_CODE,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED
202,Sedotan Hitam Lancip,,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME,sedotan hitam lancip,,MISSING_PRODUCT_CODE,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED
203,Sedotan Hitam Lancip Lubang 12,BJ000015,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,Sedotan Warna Lurik Double 70gr,DUPLICATE_PRODUCT_CODE_IN_SHEET;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,sedotan hitam lancip lubang 12,,DUPLICATE_PRODUCT_CODE_IN_SHEET;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED
206,Sedotan Hitam Lurik Dop Luban 6 Jasa,,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME,sedotan hitam lurik dop luban 6 jasa,,MISSING_PRODUCT_CODE,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED
207,Sedotan Hitam Steril,SHS00WL-20,Pack,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,Sedotan Hitam Steril,SHS00WL-20,PCS,Produk FINISHED GOOD Rafia,Sedotan Hitam Steril,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION,EXISTS_BY_NAME,sedotan hitam steril,Sedotan Hitam Steril,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME,MANUAL_REVIEW_REQUIRED
208,Sedotan Hitam Steril Bal Dalam Printing Luar Polos,,Bal,,4-114 Penjualan Sedotan Steril,BARANG JADI,BAL,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME,sedotan hitam steril bal dalam printing luar polos,,MISSING_PRODUCT_CODE,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED
209,Sedotan Hitam Steril Bal Full Polos Isi 250,SHS00WL-00,Bal,,4-114 Penjualan Sedotan Steril,BARANG JADI,BAL,Sedotan Hitam Steril Bal Full Polos Isi 250,SHS00WL-00,BAL,Produk FINISHED GOOD Rafia,Sedotan Hitam Steril Bal Full Polos Isi 250,DUPLICATE_PRODUCT_CODE_IN_SHEET,EXISTS_BY_NAME,sedotan hitam steril bal full polos isi 250,Sedotan Hitam Steril Bal Full Polos Isi 250,DUPLICATE_PRODUCT_CODE_IN_SHEET;NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME,MANUAL_REVIEW_REQUIRED
210,Sedotan Hitam Steril Bal Full Polos Isi 500,,Bal,,4-114 Penjualan Sedotan Steril,BARANG JADI,BAL,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME,sedotan hitam steril bal full polos isi 500,,MISSING_PRODUCT_CODE,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED
213,Sedotan Hitam Steril Full Polos,SHS00WL-00,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,,,,,Sedotan Hitam Steril Bal Full Polos Isi 250,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,sedotan hitam steril full polos,,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED
214,Sedotan Hitam Steril Full Polos Isi 250,SHS00WL-00,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,,,,,Sedotan Hitam Steril Bal Full Polos Isi 250,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,sedotan hitam steril full polos isi 250,,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED
215,Sedotan Hitam Steril Full Polos Isi 500,SHS00WL-00,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,,,,,Sedotan Hitam Steril Bal Full Polos Isi 250,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,sedotan hitam steril full polos isi 500,,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED
217,Sedotan Hitam Steril Full Printing,SHS00WL-11,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,Sedotan Hitam Steril Full Printing,SHS00WL-11,PCS,Produk FINISHED GOOD Rafia,Sedotan Hitam Steril Full Printing,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION,EXISTS_BY_NAME,sedotan hitam steril full printing,Sedotan Hitam Steril Full Printing,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME,MANUAL_REVIEW_REQUIRED
218,Sedotan Hitam Steril Full Printing Isi 250,SHS00WL-11,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,,,,,Sedotan Hitam Steril Full Printing,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,sedotan hitam steril full printing isi 250,,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED
219,Sedotan Hitam Steril Full Printing Isi 500,SHS00WL-11,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,,,,,Sedotan Hitam Steril Full Printing,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,sedotan hitam steril full printing isi 500,,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED
221,Sedotan Hitam Steril Kura Isi 250,SHS00WL-11,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,,,,,Sedotan Hitam Steril Full Printing,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,sedotan hitam steril kura isi 250,,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED
222,Sedotan Hitam Steril Kura Isi 500,SHS00WL-11,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,,,,,Sedotan Hitam Steril Full Printing,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,sedotan hitam steril kura isi 500,,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED
223,Sedotan Hitam Steril Pack Polos Isi 250,SHS00WL-20,Pack,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,,,,,Sedotan Hitam Steril,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,sedotan hitam steril pack polos isi 250,,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED
227,Sedotan Hitam Steril Zak Full Polos,,Zak,,4-114 Penjualan Sedotan Steril,BARANG JADI,ZAK,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME,sedotan hitam steril zak full polos,,MISSING_PRODUCT_CODE,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED
245,"Sedotan Kuning Lurik Dop Lubang 6,5",,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME,sedotan kuning lurik dop lubang 6.5,,MISSING_PRODUCT_CODE,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED
274,"Sedotan Merah Lurik Dop Lubang 6,5",,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME,sedotan merah lurik dop lubang 6.5,,MISSING_PRODUCT_CODE,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED
277,"Sedotan Merah Super 0,95 (10)",,Bal,,4-101 Penjualan Rafia Bal,BARANG JADI,BAL,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME,sedotan merah super 0.95 (10),,MISSING_PRODUCT_CODE,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED
294,"Sedotan Pink Lurik Dop Lubang 6,5",,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME,sedotan pink lurik dop lubang 6.5,,MISSING_PRODUCT_CODE,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED
302,Sedotan Putih Dop Super 90gr,,Pack,,4-112 Penjualan Sedotan Pack,BARANG JADI,PCS,,,,,,MISSING_PRODUCT_CODE;UNIT_NEEDS_NORMALIZATION,NEW_BY_NAME,sedotan putih dop super 90gr,,MISSING_PRODUCT_CODE;UNIT_NEEDS_NORMALIZATION,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED
311,"Sedotan Ungu Lurik Dop Lubang 6,5",,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME,sedotan ungu lurik dop lubang 6.5,,MISSING_PRODUCT_CODE,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED
314,Sedotan Ungu Super Jasa,,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME,sedotan ungu super jasa,,MISSING_PRODUCT_CODE,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED
323,Sedotan Warna Lurik Dop 170gr,,Pack,,4-112 Penjualan Sedotan Pack,BARANG JADI,PCS,,,,,,MISSING_PRODUCT_CODE;UNIT_NEEDS_NORMALIZATION,NEW_BY_NAME,sedotan warna lurik dop 170gr,,MISSING_PRODUCT_CODE;UNIT_NEEDS_NORMALIZATION,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED
325,Sedotan Warna Lurik Dop 200gr,,Pack,,4-112 Penjualan Sedotan Pack,BARANG JADI,PCS,,,,,,MISSING_PRODUCT_CODE;UNIT_NEEDS_NORMALIZATION,NEW_BY_NAME,sedotan warna lurik dop 200gr,,MISSING_PRODUCT_CODE;UNIT_NEEDS_NORMALIZATION,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED
332,Sedotan Warna Lurik Double 70gr,BJ000015,Pack,,4-112 Penjualan Sedotan Pack,BARANG JADI,PCS,Sedotan Warna Lurik Double 70gr,BJ000015,PCS,Produk FINISHED GOOD Rafia,Sedotan Warna Lurik Double 70gr,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION,EXISTS_BY_NAME,sedotan warna lurik double 70gr,Sedotan Warna Lurik Double 70gr,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;NAME_FORMAT_DOT_TYPO,EXISTS_BY_NAME,MANUAL_REVIEW_REQUIRED
334,Sedotan Warna Pop Ice Tumpul 130gr,,Pack,,4-112 Penjualan Sedotan Pack,BARANG JADI,PCS,,,,,,MISSING_PRODUCT_CODE;UNIT_NEEDS_NORMALIZATION,NEW_BY_NAME,sedotan warna pop ice tumpul 130gr,,MISSING_PRODUCT_CODE;UNIT_NEEDS_NORMALIZATION,NEW_BY_NAME,MANUAL_REVIEW_REQUIRED
